TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-047034-01-d.csv,,,,,,,,,,,,,,,,,,,
DATE: 02/14/2019,,,,,,,,,,,,,,,,,,,
DESIGN: 02_047034d_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_047034e\worklib\02_047034d_top\bom\047034a.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_047034c,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_047034c,N/A,?,?,?,?,?,?,?
2,4,E026439,"SWITCH COMPACT SIZE TALL HEIGHT 0.5A, SPST-NO", SKQMBBE010,SWSML236W138H197,N/A,12V,N/A,"BOOT,BTN1,BTN2,RST",ALPS ELECTRIC INC, SKQMBBE010,REL,N/A,N/A,N/A,N/A,N/A,?,?
3,1,E026621,"SOCKET, CR2032 BATTERY HOLDER, 1X M024472", BHX1-2032-PC,SKTBHX1-2032-PC,N/A,N/A,N/A,BT1,"MEMORY PROTECTION DEVICES, INC.", BHX1-2032-PC,REL,N/A,N/A,N/A,N/A,N/A,?,?
4,2,E027259,CONN-PCB RECEPTACLE BRD TO BRD 0.5MM PITCH, DF17(4.0)-60DS-0.5V(57),CNHRS-DF17_4-60DS-05V,N/A,N/A,N/A,"C1,C2",HIROSE ELECTRIC, DF17(4.0)-60DS-0.5V(57),REL,N/A,N/A,N/A,N/A,N/A,?,?
5,19,E027519,"CAP CER X7R, BROADBAND", 0.1UF,C0402,10,16V,N/A,"C3,C4,C6,C7,C8,C9,C10,C15,C16,C20,C22,C26,C28,C31,C32,C34,C37,C38,C45",AMERICAN TECHNICAL CERAMICS, CL05B104KO5NNNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
6,4,E007476,"CAP CER NP0(C0G), HIGH FREQ, HIGH-Q", 18PF,C0402,5,50V,N/A,"C11,C14,C23,C24",MURATA, GJM1555C1H180JB01D,REL,ADD_TO_STOCK_246,N/A,N/A,1572_CAB3,7002671,?,?
7,1,E030484,"CAP CER X5R, GENERAL PURPOSE", 1UF,C0402,20,6.3V,N/A,C12,AVX CORPORATION, 04026D105MAT2A,REL,N/A,N/A,N/A,N/A,N/A,?,?
8,1,E021888,CAP CER X5R, 0.47uF,C0402,10,6.3V,N/A,C13,AVX, 04026D474KAT2A,REL,N/A,N/A,N/A,N/A,N/A,?,?
9,1,E007203,CAP CER CHIP X8R, 0.01UF,C0402,10,25V,N/A,C17,TDK, C1005X8R1E103K,REL,A004-0011-086,40302JH399,N/A,N/A,7001959,?,?
10,3,E033239,"CAP CER C0G, GENERAL PURPOSE", 20PF,C0402,5,50V,N/A,"C18,C19,C30",SAMSUNG, CL05C200JB5NNNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
11,1,E015601,CAP CER MULTILAYER X5R, 4.7uF,C0402,20,10V,N/A,C21,TDK, C1005X5R1A475M,REL,N/A,N/A,N/A,N/A,7003156,?,?
12,2,E011561,CAP CER X5R 0402, 1uF,C0402,10,6.3V,N/A,"C25,C46",AVX, 04026D105KAT2A,REL,N/A,N/A,N/A,N/A,7002749,?,?
13,2,E018501,CAP SOLID TANT CHIP, 1uF,CPL0603,N/A,N/A,N/A,"C27,C29",VISHAY, 298D105X0025M2T,REL,N/A,N/A,N/A,N/A,7002723,?,?
14,1,E028144,"CAP CER X7R, FOR AUTOMOTIVE", 2.2UF,C0603,10,6.3V,N/A,C33,MURATA, GCM188R70J225KE22D,REL,N/A,N/A,N/A,N/A,N/A,?,?
15,2,E020928,CAP CER X5R, 10uF,C0402,20,10V,N/A,"C35,C36",SAMSUNG, CL05A106MP5NUNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
16,4,E034220,CAP CER 5.6NF 25V 10% X7R 0402, 5.6NF,C0402,10,25V,N/A,"C39,C40,C41,C42",AVX CORPORATION, CL05B562KA5NNNC,REL,N/A,N/A,N/A,N/A,N/A,?,?
